"","theta","batchA","batchB","log_umi:batchA","log_umi:batchB"
"FAM229A",0.185955406245284,-13.0412186394904,-12.1120008116789,2.19756516700304,2.09432734447578
"BSDC1",0.531171098928357,-10.2640790344186,-10.3600820325979,2.27290485091228,2.34238057463336
"ZBTB8OS",0.550491301294218,-10.1258358409023,-10.3897974523178,2.27174936701018,2.34326388807952
"RBBP4",0.656318797133145,-9.94915338500988,-10.0582248916255,2.32410880074101,2.36804622708541
"SYNC",0.260957160653722,-11.5772761386386,-11.5882929144866,2.14738396490195,2.13583876778806
"YARS",0.462537983675088,-10.4442586868823,-10.8542917183231,2.24916214653928,2.31472539006858
"S100PBP",0.450077945569588,-10.8825488853542,-11.1152982433069,2.19595570580303,2.26769749012501
"RNF19B",0.275123687981729,-11.5791336579519,-11.5418790762414,2.17396725098979,2.13868298891723
"AK2",0.620719236790277,-9.96558112679083,-10.13357319718,2.30125562083325,2.33788770610454
"ADC",0.187360868260337,-12.9807844892051,-12.1107581427912,2.23242604348101,2.07967987971902
"TRIM62",0.190579693516022,-11.726029841205,-12.8356493069929,2.0703634990053,2.07186889921468
"ZNF362",0.255910485042754,-11.5684516927711,-11.5882929144866,2.12725989498536,2.13583876778806
"PHC2",0.327840501623021,-11.3860396876462,-11.4616168534817,2.20582394294726,2.14504042970337
"SMIM12",0.67807097139171,-9.92976694796075,-10.0601929223895,2.34097425647069,2.38466717301392
"DLGAP3",0.193536910419406,-12.0306360069239,-12.2134499787719,2.10758923884792,2.05080575518804
